batch.id,subject.id,pair.id,prefer.bay.leaf
1,1,1,T
1,1,2,T
1,1,3,F
1,1,4,T
1,1,5,T
1,1,6,T
1,1,7,F
1,2,1,F
1,2,2,F
1,2,3,F
1,2,4,T
1,2,5,F
1,2,6,F
1,2,7,T
1,3,1,T
1,3,2,T
1,3,3,T
1,3,4,F
1,3,5,T
1,3,6,T
1,3,7,F
1,4,1,
1,4,2,T
1,4,3,F
1,4,4,T
1,4,5,F
1,4,6,
1,4,7,
1,5,1,T
1,5,2,T
1,5,3,T
1,5,4,T
1,5,5,T
1,5,6,T
1,5,7,F
1,6,1,T
1,6,2,T
1,6,3,T
1,6,4,F
1,6,5,T
1,6,6,T
1,6,7,F
2,7,8,T
2,7,9,F
2,8,8,F
2,8,9,F
2,9,8,F
2,9,9,T
2,10,8,F
2,10,9,F
2,11,8,F
2,11,9,T
2,12,8,T
2,12,9,F
2,13,8,T
2,13,9,T
3,14,10,T
3,15,10,T
4,16,11,T
4,16,12,
4,16,13,
4,16,14,T
4,16,15,F
4,16,16,F
4,17,11,T
4,17,12,T
4,17,13,F
4,17,14,T
4,17,15,F
4,17,16,T
4,18,11,T
4,18,12,F
4,18,13,F
4,18,14,T
4,18,15,F
4,18,16,F
4,19,11,T
4,19,12,T
4,19,13,F
4,19,14,T
4,19,15,F
4,19,16,F
4,20,11,T
4,20,12,T
4,20,13,T
4,20,14,T
4,20,15,F
4,20,16,F
4,21,11,T
4,21,12,F
4,21,13,T
4,21,14,T
4,21,15,T
4,21,16,F
4,22,11,F
4,22,12,T
4,22,13,T
4,22,14,F
4,22,15,T
4,22,16,T
4,23,11,T
4,23,12,T
4,23,13,T
4,23,14,F
4,23,15,F
4,23,16,T
4,24,11,F
4,24,12,F
4,24,13,F
4,24,14,F
4,24,15,F
4,24,16,F
